title,link,image_link,local_image_path,source,time_stamp
‘Terrorism’: Justice Nyako recuses self from Kanu’s case,https://dailytrust.com/terrorism-justice-nyako-recuses-self-from-kanus-case/,https://dailytrust.com/wp-content/uploads/2024/09/nyako-150x150.jpg,prime_web_scraping/media\‘Terrorism’ Justice Nyako recuses self from Kanu’s case.jpg,dailytrust,2024-09-24 23:36:56.115018
Forex: EFCC Raid Was To Embarrass Us – Dangote,https://dailytrust.com/forex-efcc-raid-was-to-embarrass-us-dangote/,https://dailytrust.com/wp-content/uploads/2024/07/dangote-1-150x150.jpg,prime_web_scraping/media\Forex EFCC Raid Was To Embarrass Us – Dangote.jpg,dailytrust,2024-09-24 23:36:56.724913
"Islamic singer, Rukayat Gawat, passes away",https://dailytrust.com/islamic-singer-rukayat-gawat-passes-away/,https://dailytrust.com/wp-content/uploads/2024/09/fb_img_1727174107678-150x150.jpg,"prime_web_scraping/media\Islamic singer, Rukayat Gawat, passes away.jpg",dailytrust,2024-09-24 23:36:57.187793
"Drama as Oba of Benin counters Oshiomhole in presence of Akpabio, Okpebholo, others",https://dailytrust.com/drama-as-oba-of-benin-counters-oshiomhole-in-presence-of-akpabio-okpebholo-others/,https://dailytrust.com/wp-content/uploads/2024/04/oba-of-benin-eheneden-150x150.jpg,"prime_web_scraping/media\Drama as Oba of Benin counters Oshiomhole in presence of Akpabio, Okpebholo, others.jpg",dailytrust,2024-09-24 23:36:57.666060
"Constitution amendment, electoral reforms, LG autonomy top priority as reps resume plenary today",https://dailytrust.com/constitution-amendment-electoral-reforms-lg-autonomy-top-priority-as-reps-resume-plenary-today/,https://dailytrust.com/wp-content/uploads/2021/08/Reps-150x150.jpg,"prime_web_scraping/media\Constitution amendment, electoral reforms, LG autonomy top priority as reps resume plenary today.jpg",dailytrust,2024-09-24 23:36:58.136262
"Tinubu writes Senate, seeks confirmation of Kudirat Kekere-Ekun as CJN",https://www.vanguardngr.com/2024/09/tinubu-writes-senate-seeks-confirmation-of-kudirat-kekere-ekun-as-cjn/,https://cdn.vanguardngr.com/wp-content/uploads/2024/09/Tinubu-swears-in-Kekere-Ekun-as-CJN-1920x1318-1.jpg?auto_optimize=low&width=250,"prime_web_scraping/media\Tinubu writes Senate, seeks confirmation of Kudirat Kekere-Ekun as CJN.jpg",vanguardngr,2024-09-24 23:36:59.947749
Rising costs of living testing fabric of our society – Senate,https://www.vanguardngr.com/2024/09/rising-costs-of-living-testing-fabric-of-our-society-senate/,https://cdn.vanguardngr.com/wp-content/uploads/2023/05/image-212.png?auto_optimize=low&width=250,prime_web_scraping/media\Rising costs of living testing fabric of our society – Senate.jpg,vanguardngr,2024-09-24 23:37:00.715998
NBS: Unemployment Rate Increased to 5.3% in Q1,https://www.thisdaylive.com/index.php/2024/09/24/nbs-unemployment-rate-increased-to-5-3-in-q1/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/3c509464-nbs-1-150x150.jpeg,prime_web_scraping/media\NBS Unemployment Rate Increased to 5.3% in Q1.jpg,thisdaylive,2024-09-24 23:37:03.149529
"Edo Guber: Shaibu Lauds INEC Over Free, Fair Poll",https://www.thisdaylive.com/index.php/2024/09/24/edo-guber-shaibu-lauds-inec-over-free-fair-poll/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Philip-Shaibu-150x150.jpg,"prime_web_scraping/media\Edo Guber Shaibu Lauds INEC Over Free, Fair Poll.jpg",thisdaylive,2024-09-24 23:37:03.339134
Economic Hardship: Saraki Foundation to Support Widows in Kwara,https://www.thisdaylive.com/index.php/2024/09/24/economic-hardship-saraki-foundation-to-support-widows-in-kwara/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Abubakar-Bukola-Saraki-Foundation-150x150.jpg,prime_web_scraping/media\Economic Hardship Saraki Foundation to Support Widows in Kwara.jpg,thisdaylive,2024-09-24 23:37:03.467255
Nigeria Strengthens Partnership With OACPS Members At UNGA,https://www.thisdaylive.com/index.php/2024/09/24/nigeria-strengthens-partnership-with-oacps-members-at-unga/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/OACPS-150x150.jpg,prime_web_scraping/media\Nigeria Strengthens Partnership With OACPS Members At UNGA.jpg,thisdaylive,2024-09-24 23:37:03.611658
"Adeleke: Respect for People’s Will  to Strengthen Democracy, Good Governance",https://www.thisdaylive.com/index.php/2024/09/24/adeleke-respect-for-peoples-will-to-strengthen-democracy-good-governance/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Ademola-Adeleke-4.jpg,"prime_web_scraping/media\Adeleke Respect for People’s Will  to Strengthen Democracy, Good Governance.jpg",thisdaylive,2024-09-24 23:37:03.719184
Air Peace Denies Allegation of Shattered Windshield on Landing at Abuja Airport,https://www.thisdaylive.com/index.php/2024/09/24/air-peace-denies-allegation-of-shattered-windshield-on-landing-at-abuja-airport/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Air-Peace-airline1-150x150.jpg,prime_web_scraping/media\Air Peace Denies Allegation of Shattered Windshield on Landing at Abuja Airport.jpg,thisdaylive,2024-09-24 23:37:03.874734
NBS: Unemployment Rate Increased to 5.3% in Q1,https://www.thisdaylive.com/index.php/2024/09/24/nbs-unemployment-rate-increased-to-5-3-in-q1/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/3c509464-nbs-1-150x150.jpeg,prime_web_scraping/media\NBS Unemployment Rate Increased to 5.3% in Q1.jpg,thisdaylive,2024-09-24 23:37:04.013880
"Edo Guber: Shaibu Lauds INEC Over Free, Fair Poll",https://www.thisdaylive.com/index.php/2024/09/24/edo-guber-shaibu-lauds-inec-over-free-fair-poll/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Philip-Shaibu-150x150.jpg,"prime_web_scraping/media\Edo Guber Shaibu Lauds INEC Over Free, Fair Poll.jpg",thisdaylive,2024-09-24 23:37:04.101879
Economic Hardship: Saraki Foundation to Support Widows in Kwara,https://www.thisdaylive.com/index.php/2024/09/24/economic-hardship-saraki-foundation-to-support-widows-in-kwara/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Abubakar-Bukola-Saraki-Foundation-150x150.jpg,prime_web_scraping/media\Economic Hardship Saraki Foundation to Support Widows in Kwara.jpg,thisdaylive,2024-09-24 23:37:04.217531
Nigeria Strengthens Partnership With OACPS Members At UNGA,https://www.thisdaylive.com/index.php/2024/09/24/nigeria-strengthens-partnership-with-oacps-members-at-unga/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/OACPS-150x150.jpg,prime_web_scraping/media\Nigeria Strengthens Partnership With OACPS Members At UNGA.jpg,thisdaylive,2024-09-24 23:37:04.377790
"Adeleke: Respect for People’s Will  to Strengthen Democracy, Good Governance",https://www.thisdaylive.com/index.php/2024/09/24/adeleke-respect-for-peoples-will-to-strengthen-democracy-good-governance/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Ademola-Adeleke-4.jpg,"prime_web_scraping/media\Adeleke Respect for People’s Will  to Strengthen Democracy, Good Governance.jpg",thisdaylive,2024-09-24 23:37:04.495853
Ex-Wazirin Katsina Demands Sack of Service Chiefs over Worsening Insecurity,https://www.thisdaylive.com/index.php/2024/09/24/ex-wazirin-katsina-demands-sack-of-service-chiefs-over-worsening-insecurity/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Sani-Abubakar-Lugga-150x150.jpg,prime_web_scraping/media\Ex-Wazirin Katsina Demands Sack of Service Chiefs over Worsening Insecurity.jpg,thisdaylive,2024-09-24 23:37:04.665093
"AbdulRazaq Tasks Elected Chairmen, Councillors to Live Up to the Expectations of Kwarans",https://www.thisdaylive.com/index.php/2024/09/24/abdulrazaq-tasks-elected-chairmen-councillors-to-live-up-to-the-expectations-of-kwarans/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/AbdulRahman-AbdulRazaq-1-150x150.jpg,"prime_web_scraping/media\AbdulRazaq Tasks Elected Chairmen, Councillors to Live Up to the Expectations of Kwarans.jpg",thisdaylive,2024-09-24 23:37:04.773509
PRP Criticises Bauchi for Allegedly Wasting N67.39bn on Security Votes,https://www.thisdaylive.com/index.php/2024/09/24/prp-criticises-bauchi-for-allegedly-wasting-n67-39bn-on-security-votes/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/PRP-150x150.gif,prime_web_scraping/media\PRP Criticises Bauchi for Allegedly Wasting N67.39bn on Security Votes.jpg,thisdaylive,2024-09-24 23:37:04.987576
"Senator Buba Umar Empowers 2,000 Youth, Women on Farming",https://www.thisdaylive.com/index.php/2024/09/24/senator-buba-umar-empowers-2000-youth-women-on-farming/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Shehu-Umar-Buba.jpg,"prime_web_scraping/media\Senator Buba Umar Empowers 2,000 Youth, Women on Farming.jpg",thisdaylive,2024-09-24 23:37:05.126383
Umakhihe Salutes Emergence of Okpebholo as Edo Governor-elect,https://www.thisdaylive.com/index.php/2024/09/24/umakhihe-salutes-emergence-of-okpebholo-as-edo-governor-elect/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Ernest-Afolabi-Umakhihe-1-150x150.jpg,prime_web_scraping/media\Umakhihe Salutes Emergence of Okpebholo as Edo Governor-elect.jpg,thisdaylive,2024-09-24 23:37:05.235946
Gombe  Presents 2023 Citizens Accountability Report,https://www.thisdaylive.com/index.php/2024/09/24/gombe-presents-2023-citizens-accountability-report/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Gombe-150x150.gif,prime_web_scraping/media\Gombe  Presents 2023 Citizens Accountability Report.jpg,thisdaylive,2024-09-24 23:37:05.427096
"Ganduje Greets Okpebholo, Says APC Will Recover More States",https://www.thisdaylive.com/index.php/2024/09/24/ganduje-greets-okpebholo-says-apc-will-recover-more-states/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Abdullahi-Umar-Ganduje-2.gif,"prime_web_scraping/media\Ganduje Greets Okpebholo, Says APC Will Recover More States.jpg",thisdaylive,2024-09-24 23:37:05.700819
Dangote: NNPC Made Huge Mistake By Reducing Stake in Our Refinery from 20% to 7.2%,https://www.thisdaylive.com/index.php/2024/09/24/dangote-nnpc-made-huge-mistake-by-reducing-stake-in-our-refinery-from-20-to-7-2/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Dangote-1-150x150.jpg,prime_web_scraping/media\Dangote NNPC Made Huge Mistake By Reducing Stake in Our Refinery from 20% to 7.2%.jpg,thisdaylive,2024-09-24 23:37:06.449351
"Flooding: FG Constitutes Committee to Re-assess Alau, Other Dams Nationwide",https://www.thisdaylive.com/index.php/2024/09/24/flooding-fg-constitutes-committee-to-re-assess-alau-other-dams-nationwide/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/FLOOD-IMPACT.jpeg,"prime_web_scraping/media\Flooding FG Constitutes Committee to Re-assess Alau, Other Dams Nationwide.jpg",thisdaylive,2024-09-24 23:37:06.584184
National Assembly to Inaugurate Joint Oil Sabotage Probe Panel Today,https://www.thisdaylive.com/index.php/2024/09/24/national-assembly-to-inaugurate-joint-oil-sabotage-probe-panel-today/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/National-Assembly--150x150.jpg,prime_web_scraping/media\National Assembly to Inaugurate Joint Oil Sabotage Probe Panel Today.jpg,thisdaylive,2024-09-24 23:37:06.868203
"FEC Okays Economic Stabilisation Bill to Boost Liquidity, Employment",https://www.thisdaylive.com/index.php/2024/09/24/fec-okays-economic-stabilisation-bill-to-boost-liquidity-employment/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Fec-Meeting-150x150.jpg,"prime_web_scraping/media\FEC Okays Economic Stabilisation Bill to Boost Liquidity, Employment.jpg",thisdaylive,2024-09-24 23:37:06.994683
"We Inherited Dead Civil Service, Fubara Declares",https://www.thisdaylive.com/index.php/2024/09/24/we-inherited-dead-civil-service-fubara-declares/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Siminalayi-Fubara-1.jpeg,"prime_web_scraping/media\We Inherited Dead Civil Service, Fubara Declares.jpg",thisdaylive,2024-09-24 23:37:07.099777
DMO Offers Three Bonds Worth N150bn for Subscription,https://www.thisdaylive.com/index.php/2024/09/24/dmo-offers-three-bonds-worth-n150bn-for-subscription/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/DMO--150x150.jpg,prime_web_scraping/media\DMO Offers Three Bonds Worth N150bn for Subscription.jpg,thisdaylive,2024-09-24 23:37:07.312710
"Biodiversity: NNPC, First E&P, NCF Launch 500,000 Tree Planting Initiative",https://www.thisdaylive.com/index.php/2024/09/24/biodiversity-nnpc-first-ep-ncf-launch-500000-tree-planting-initiative/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/NNPC-NEW-LOGO-150x150.gif,"prime_web_scraping/media\Biodiversity NNPC, First E&P, NCF Launch 500,000 Tree Planting Initiative.jpg",thisdaylive,2024-09-24 23:37:07.443528
"NBS: Rivers, Cross River, Abia Lead as Cooking Gas Prices Rise 70% in One Year",https://www.thisdaylive.com/index.php/2024/09/24/nbs-rivers-cross-river-abia-lead-as-cooking-gas-prices-rise-70-in-one-year/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/3c509464-nbs-1-150x150.jpeg,"prime_web_scraping/media\NBS Rivers, Cross River, Abia Lead as Cooking Gas Prices Rise 70% in One Year.jpg",thisdaylive,2024-09-24 23:37:07.556799
"2.1m Children Currently Unvaccinated in Nigeria, Says WHO",https://www.thisdaylive.com/index.php/2024/09/24/2-1m-children-currently-unvaccinated-in-nigeria-says-who/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/WHO-150x150.gif,"prime_web_scraping/media\2.1m Children Currently Unvaccinated in Nigeria, Says WHO.jpg",thisdaylive,2024-09-24 23:37:08.198687
"After Contributing to 41 Peacekeeping Missions, Deploying over 200,000 Troops, Nigeria Seeks UN Security Council’s Permanent Seat",https://www.thisdaylive.com/index.php/2024/09/24/after-contributing-to-41-peacekeeping-missions-deploying-over-200000-troops-nigeria-seeks-un-security-councils-permanent-seat/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Badaru-Abubakar-150x150.gif,"prime_web_scraping/media\After Contributing to 41 Peacekeeping Missions, Deploying over 200,000 Troops, Nigeria Seeks UN Secu.jpg",thisdaylive,2024-09-24 23:37:08.328732
Sanwo-Olu: Lagos Appointed 38 Judges Within 2 Years to Enhance Justice Delivery,https://www.thisdaylive.com/index.php/2024/09/24/sanwo-olu-lagos-appointed-38-judges-within-2-years-to-enhance-justice-delivery/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Sanwo-Olu-4-150x150.jpg,prime_web_scraping/media\Sanwo-Olu Lagos Appointed 38 Judges Within 2 Years to Enhance Justice Delivery.jpg,thisdaylive,2024-09-24 23:37:08.472578
Gender Bias Limiting Career Advancement of Women Engineers,https://www.thisdaylive.com/index.php/2024/09/24/gender-bias-limiting-career-advancement-of-women-engineers/,https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/APWEN-150x150.jpg,prime_web_scraping/media\Gender Bias Limiting Career Advancement of Women Engineers.jpg,thisdaylive,2024-09-24 23:37:08.577573
